北京新华富时资产管理有限公司|管理人TA|1V
北京新华富时资产管理有限公司|资管产品直销|430
汇添富资本管理有限公司|管理人TA|1W
汇添富资本管理有限公司|资管产品直销|431
北京天地方中资产管理有限公司|管理人TA|1X
北京天地方中资产管理有限公司|资管产品直销|432
永赢资产管理有限公司|管理人TA|1Y
永赢资产管理有限公司|资管产品直销|433
长盛创富资产管理有限公司|管理人TA|1Z
长盛创富资产管理有限公司|资管产品直销|435
首誉资产管理有限公司|管理人TA|3A
首誉资产管理有限公司|资管产品直销|436
上银瑞金资本管理有限公司|管理人TA|3B
上银瑞金资本管理有限公司|资管产品直销|437
申万菱信（上海）资产管理有限公司|管理人TA|3C
申万菱信（上海）资产管理有限公司|资管产品直销|438
上海兴全睿众资产管理有限公司|管理人TA|3D
上海兴全睿众资产管理有限公司|资管产品直销|439
德邦创新资本有限责任公司|管理人TA|3E
德邦创新资本有限责任公司|资管产品直销|440
北京千石创富资本管理有限公司|管理人TA|3F
北京千石创富资本管理有限公司|资管产品直销|441
北银丰业资产管理有限公司|管理人TA|3G
北银丰业资产管理有限公司|资管产品直销|442
上海国金通用财富资产管理有限公司|公募产品代销|443
红土创新基金管理有限公司|公募TA|3H
红土创新基金管理有限公司|公募产品直销|445
银河资本资产管理有限公司|管理人TA|3I
银河资本资产管理有限公司|资管产品直销|446
北信瑞丰基金管理有限公司|公募TA|3J
北信瑞丰基金管理有限公司|公募产品直销|447
上海长江财富资产管理有限公司|管理人TA|3L
上海长江财富资产管理有限公司|资管产品直销|448
创金合信基金管理有限公司|公募TA|3M
创金合信基金管理有限公司|公募产品直销|449
创金合信基金管理有限公司|外包TA|SL
北京国开泰富资产管理有限公司|管理人TA|3N
北京国开泰富资产管理有限公司|资管产品直销|450
华夏资本管理有限公司|管理人TA|3P
华夏资本管理有限公司|资管产品直销|451
九泰基金管理有限公司|公募TA|3Q
九泰基金管理有限公司|公募产品直销|452
嘉合基金管理有限公司|公募TA|3R
嘉合基金管理有限公司|公募产品直销|453
易方达资产管理有限公司|管理人TA|3S
易方达资产管理有限公司|资管产品直销|455
中银资产管理有限公司|管理人TA|3U
中银资产管理有限公司|资管产品直销|456
鹏华资产管理（深圳）有限公司|管理人TA|3V
鹏华资产管理（深圳）有限公司|资管产品直销|457
南方资本管理有限公司|管理人TA|3W
南方资本管理有限公司|资管产品直销|458
国寿财富管理有限公司|管理人TA|3X
国寿财富管理有限公司|资管产品直销|459
东方汇智资产管理有限公司|管理人TA|3Y
东方汇智资产管理有限公司|资管产品直销|460
深圳平安大华汇通财富管理有限公司|管理人TA|4B
深圳平安大华汇通财富管理有限公司|资管产品直销|461
上海兴瀚资产管理有限公司|管理人TA|4E
上海兴瀚资产管理有限公司|资管产品直销|463
国投瑞银资本管理有限公司|管理人TA|4F
国投瑞银资本管理有限公司|资管产品直销|464
景顺长城资产管理（深圳）有限公司|管理人TA|F3
景顺长城资产管理（深圳）有限公司|资管产品直销|465
金信基金管理有限公司|公募TA|4G
金信基金管理有限公司|公募产品直销|466
元达信资本管理（北京）有限公司|管理人TA|F6
元达信资本管理（北京）有限公司|资管产品直销|467
中欧盛世资产管理（上海）有限公司|管理人TA|4J
中欧盛世资产管理（上海）有限公司|资管产品直销|468
中欧钱滚滚基金销售（上海）有限公司|公募产品代销|469
新沃基金管理有限公司|公募TA|4K
新沃基金管理有限公司|公募产品直销|470
中科沃土基金管理有限公司|公募TA|4L
中科沃土基金管理有限公司|公募产品直销|471
新疆前海联合基金管理有限公司|公募TA|4M
新疆前海联合基金管理有限公司|公募产品直销|472
九泰基金销售（北京）有限公司|公募产品代销|473
天津万家财富资产管理有限公司|公募产品代销|475
深圳英大资本管理有限公司|管理人TA|4P
深圳英大资本管理有限公司|资管产品直销|476
上海华夏财富投资管理有限公司|公募产品代销|477
中国国际期货有限公司|管理人TA|RH
中国国际期货有限公司|公募产品代销|500
中信建投期货有限公司|公募产品代销|501
兴证期货有限公司|管理人TA|Q8
兴证期货有限公司|公募产品代销|502
中州期货有限公司|管理人TA|QW
中州期货有限公司|公募产品代销|503
中州期货有限公司|资管产品直销|527
海通期货有限公司|管理人TA|Q2
海通期货有限公司|公募产品代销|504
安粮期货有限公司|公募产品代销|505
中投天琪期货有限公司|公募产品代销|506
中信期货有限公司|管理人TA|Q1
中信期货有限公司|公募产品代销|507
申银万国期货有限公司|管理人TA|QV
申银万国期货有限公司|公募产品代销|508
广发期货有限公司|公募产品代销|509
英大期货有限公司|管理人TA|QC
英大期货有限公司|资管产品直销|512
东海期货有限责任公司|管理人TA|R2
东海期货有限责任公司|公募产品代销|513
盛达期货有限公司|管理人TA|QE
盛达期货有限公司|资管产品直销|514
中银国际期货有限责任公司|管理人TA|QK
中银国际期货有限责任公司|资管产品直销|515
弘业期货股份有限公司|管理人TA|QM
弘业期货股份有限公司|公募产品代销|529
弘业期货股份有限公司|资管产品直销|516
兴业期货有限公司|管理人TA|QN
兴业期货有限公司|资管产品直销|517
西南期货有限公司|管理人TA|QP
西南期货有限公司|资管产品直销|518
国都期货有限公司|管理人TA|QS
国都期货有限公司|资管产品直销|520
新纪元期货有限公司|管理人TA|QU
新纪元期货有限公司|公募产品代销|552
新纪元期货有限公司|资管产品直销|521
银河期货有限公司|管理人TA|Q3
银河期货有限公司|公募产品代销|522
南华期货股份有限公司|管理人TA|Q6
南华期货股份有限公司|公募产品代销|523
建信期货有限责任公司|管理人TA|QX
建信期货有限责任公司|资管产品直销|524
国泰君安证券股份有限公司|公募产品代销|601
国泰君安证券股份有限公司|外包TA|JA
中信建投证券股份有限公司|管理人TA|B5
中信建投证券股份有限公司|公募产品代销|602
中信建投证券股份有限公司|外包TA|CS
中信建投证券股份有限公司|资管产品直销|739
国信证券股份有限公司|管理人TA|93
国信证券股份有限公司|公募产品代销|603
国信证券股份有限公司|外包TA|S2
招商证券股份有限公司|公募产品代销|604
招商证券股份有限公司|外包TA|SH
广发证券股份有限公司|公募产品代销|605
广发证券股份有限公司|外包TA|SK
中信证券股份有限公司|管理人TA|90
中信证券股份有限公司|公募产品代销|606
中信证券股份有限公司|资管产品直销|783
中国银河证券股份有限公司|管理人TA|AA
中国银河证券股份有限公司|公募产品代销|607
中国银河证券股份有限公司|外包TA|YH
海通证券股份有限公司|管理人TA|EB
海通证券股份有限公司|公募产品代销|608
海通证券股份有限公司|外包TA|HT
华泰联合证券有限责任公司|公募产品代销|609
申万宏源证券有限公司|管理人TA|A5
申万宏源证券有限公司|公募产品代销|610
申万宏源证券有限公司|外包TA|SA
申万宏源证券有限公司|资管产品直销|727
兴业证券股份有限公司|管理人TA|AB
兴业证券股份有限公司|公募产品代销|613
兴业证券股份有限公司|外包TA|XY
长江证券承销保荐有限公司|公募产品代销|614
安信证券股份有限公司|管理人TA|AD
安信证券股份有限公司|公募产品代销|615
安信证券股份有限公司|资管产品直销|777
西南证券股份有限公司|管理人TA|BF
西南证券股份有限公司|公募产品代销|616
西南证券股份有限公司|资管产品直销|772
中信证券(浙江)有限责任公司|公募产品代销|617
湘财证券有限责任公司|管理人TA|DA
湘财证券有限责任公司|公募产品代销|618
万联证券股份有限公司|管理人TA|B1
万联证券股份有限公司|公募产品代销|619
万联证券股份有限公司|资管产品直销|773
民生证券有限责任公司|管理人TA|B2
民生证券有限责任公司|公募产品代销|620
国元证券股份有限公司|管理人TA|A1
国元证券股份有限公司|公募产品代销|621
渤海证券股份有限公司|管理人TA|C7
渤海证券股份有限公司|公募产品代销|622
华泰证券股份有限公司|公募产品代销|624
华泰证券股份有限公司|外包TA|S1
山西证券股份有限公司|公募TA|3K
山西证券股份有限公司|公募产品直销|721
山西证券股份有限公司|管理人TA|B9
山西证券股份有限公司|公募产品代销|625
山西证券股份有限公司|资管产品直销|776
中信万通证券有限责任公司|公募产品代销|626
东兴证券股份有限公司|公募TA|3Z
东兴证券股份有限公司|公募产品直销|729
东兴证券股份有限公司|管理人TA|BE
东兴证券股份有限公司|公募产品代销|627
东兴证券股份有限公司|外包TA|SE
东兴证券股份有限公司|资管产品直销|789
东吴证券股份有限公司|管理人TA|B8
东吴证券股份有限公司|公募产品代销|628
东吴证券股份有限公司|外包TA|DW
东吴证券股份有限公司|资管产品直销|763
